CountryCode,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015
ABW,100031,100830,101218,101342,101416,101597,101936,102393,102921,103441,103889
AND,81223,83373,84878,85616,85474,84419,82326,79316,75902,72786,70473
AFG,24399948,25183615,25877544,26528741,27207291,27962207,28809167,29726803,30682500,31627506,32526562
AGO,17912942,18541467,19183907,19842251,20520103,21219954,21942296,22685632,23448202,24227524,25021974
ALB,3011487,2992547,2970017,2947314,2927519,2913021,2904780,2900247,2896652,2893654,2889167
ARB,313430911,320906736,328766559,336886468,345054176,353112237,361031820,368802611,376504253,384222592,392022276
ARE,4481976,5171255,6010100,6900142,7705423,8329453,8734722,8952542,9039978,9086139,9156963
ARG,39145491,39558750,39969903,40381860,40798641,41222875,41655616,42095224,42538304,42980026,43416755
ARM,3014917,3002161,2988117,2975029,2966108,2963496,2967984,2978339,2992192,3006154,3017712
ASM,59117,58648,57904,57031,56226,55636,55316,55227,55302,55434,55538
ATG,82565,83467,84397,85350,86300,87233,88152,89069,89985,90900,91818
AUS,20394800,20697900,20827600,21249200,21691700,22031750,22340024,22728254,23117353,23464086,23781169
AUT,8227829,8268641,8295487,8321496,8343323,8363404,8391643,8429991,8479375,8541575,8611088
AZE,8391850,8484550,8581300,8763400,8947243,9054332,9173082,9295784,9416801,9535079,9651349
BDI,7934213,8218070,8514578,8821795,9137786,9461117,9790151,10124572,10465959,10816860,11178921
BEL,10478617,10547958,10625700,10709973,10796493,10895586,11047744,11128246,11182817,11231213,11285721
BEN,8182362,8443717,8707637,8973525,9240982,9509798,9779391,10049792,10322232,10598482,10879829
BFA,13421929,13834195,14264002,14709011,15165856,15632066,16106851,16590813,17084554,17589198,18105570
BGD,142929979,144839238,146592687,148252473,149905836,151616777,153405612,155257387,157157394,159077513,160995642
BGR,7739900,7699020,7545338,7492561,7444443,7395599,7348328,7305888,7265115,7223938,7177991
BHR,867014,940808,1026568,1115777,1196774,1261319,1306014,1333577,1349427,1361930,1377237
BHS,329243,335801,342259,348587,354780,360830,366711,372388,377841,383054,388019
BIH,3833377,3838504,3840418,3839749,3837732,3835258,3832310,3828419,3823533,3817554,3810416
BLR,9663000,9604000,9560000,9528000,9507000,9490000,9473000,9464000,9466000,9483000,9513000
BLZ,283279,290751,298403,306165,313925,321609,329193,336707,344193,351706,359287
BMU,64154,64523,64888,65273,65636,65124,64564,64798,65001,65139,65235
BOL,9125405,9283345,9441482,9599916,9758799,9918245,10078238,10238762,10399931,10561887,10724705
BRA,188479240,190698241,192784521,194769696,196701298,198614208,200517584,202401584,204259377,206077898,207847528
BRB,274013,275040,276154,277315,278466,279566,280602,281580,282503,283380,284215
BRN,361889,368150,374459,380786,387080,393302,399443,405512,411499,417394,423188
BTN,651163,666920,681471,694990,707830,720246,732246,743711,754637,765008,774830
BWA,1864003,1895671,1930431,1967866,2007212,2047831,2089706,2132822,2176510,2219937,2262485
CAF,4055608,4127112,4202104,4280405,4361492,4444973,4530903,4619500,4710678,4804316,4900274
CAN,32312000,32570505,32887928,33245773,33628571,34005274,34342780,34751476,35155499,35543658,35851774
CEB,106254694,105999320,105504531,105126686,104924372,104543801,104174038,103935318,103713726,103496179,103318638
CHE,7437115,7483934,7551117,7647675,7743831,7824909,7912398,7996861,8089346,8188649,8286976
CHI,154298,155415,156516,157587,158613,159583,160489,161336,162138,162917,163692
CHL,16096571,16279728,16462701,16645940,16829957,17015048,17201305,17388437,17575833,17762647,17948141
CHN,1303720000,1311020000,1317885000,1324655000,1331260000,1337705000,1344130000,1350695000,1357380000,1364270000,1371220000
CIV,18132702,18486392,18862172,19261647,19684909,20131707,20604172,21102641,21622490,22157107,22701556
CMR,18126999,18597109,19078100,19570418,20074522,20590666,21119065,21659488,22211166,22773014,23344179
COG,3503086,3604595,3715665,3832771,3950786,4066078,4177435,4286188,4394334,4504962,4620330
COL,43285636,43835744,44374647,44901660,45416276,45918101,46406446,46881018,47342363,47791393,48228704
COM,618632,633814,649404,665414,681845,698695,715972,733661,751697,769991,788474
CPV,474224,478265,481278,483824,486673,490379,495159,500870,507258,513906,520502
CRI,4247843,4308790,4369465,4429506,4488261,4545273,4600487,4654148,4706433,4757606,4807850
CSS,6640916,6681231,6723587,6767278,6811213,6854569,6896697,6937108,6975754,7012857,7048966
CUB,11261052,11275199,11284043,11290239,11297442,11308133,11323570,11342631,11362505,11379111,11389562
CUW,137658,141239,144056,145880,146833,148703,150831,152088,153822,155909,158040
CYM,48623,50028,51480,52925,54285,55509,56580,57522,58369,59172,59967
CYP,1032586,1048293,1063040,1077010,1090486,1103685,1116644,1129303,1141652,1153658,1165300
CZE,10211216,10238905,10298828,10384603,10443936,10474410,10496088,10510785,10514272,10525347,10551219
DEU,82469422,82376451,82266372,82110097,81902307,81776930,81797673,80425823,82132753,80982500,81413145
DJI,778406,788941,799309,809639,820097,830802,841802,853069,864554,876174,887861
DMA,70542,70690,70795,70881,70995,71167,71402,71685,72005,72341,72680
DNK,5419432,5437272,5461438,5493621,5523095,5547683,5570572,5591572,5614932,5643475,5676002
DOM,9237565,9371333,9504336,9636491,9767737,9897983,10027140,10155036,10281408,10405943,10528391
DZA,33267887,33749328,34261971,34811059,35401790,36036159,36717132,37439427,38186135,38934334,39666519
EAP,1894744514,1909251689,1923095029,1936736134,1950280764,1963842316,1977658253,1991783241,2006123447,2020656037,2035129646
EAR,2688160482,2731071075.32162,2774122008.01082,2817324736.56309,2860676105.52342,2904408227.58148,2948205642.08148,2991724467.67738,3035325824.14214,3079001949.34039,3122703317.37425
EAS,2130541816,2146013429,2160761464,2175670361,2190185797,2204613382,2219109404,2233936812,2248920288,2264064351,2279186469
ECA,393077520,393637104,394217145,395265896,397037901,399121746,401448188,403830537,406424758,408984246,411338238
ECS,872720228,875415605,878428497,881925905,885580688,889077523,892816142,895050287,900863153,903987814,907944124
ECU,13735232,13967490,14205479,14447600,14691310,14934692,15177280,15419493,15661312,15902916,16144363
EGY,74942115,76274285,77605327,78976122,80442443,82040994,83787634,85660902,87613909,89579670,91508084
EMU,329385346,330925570,332644496,334270178,335353297,336142557,336940330,336161537,338755304,338617134,339425073
ESP,43653155,44397319,45226803,45954106,46362946,46576897,46742697,46773055,46620045,46480882,46418269
EST,1354775,1346810,1340680,1337090,1334515,1331475,1327439,1322696,1317997,1314545,1311998
ETH,76608431,78735675,80891968,83079608,85302099,87561814,89858696,92191211,94558374,96958732,99390750
EUU,496200867,498074489,499915977,501803925,503310374,504412209,505526581,505098575,508050888,508344735,509668361
FCS,382338023,392013911,401863906,411873180,421999099,432225198,442535318,452946224,463535772,474395380,485609230
FIN,5246096,5266268,5288720,5313399,5338871,5363352,5388272,5413971,5438972,5461512,5482013
FJI,821820,827390,834729,843206,851854,859952,867327,874158,880487,886450,892145
FRA,63179356,63621376,64016229,64374990,64707044,65027512,65342776,65659790,65972097,66495940,66808385
FRO,48337,48505,48599,48629,48613,48567,48492,48393,48292,48221,48199
FSM,106198,105680,105080,104472,103961,103619,103476,103516,103718,104044,104460
GAB,1377777,1408920,1440902,1473741,1507428,1541936,1577298,1613489,1650351,1687673,1725292
GBR,60401206,60846820,61322463,61806995,62276270,62766365,63258918,63700300,64128226,64613160,65138232
GEO,4190000,4136000,4082000,4030000,3978000,3926000,3875000,3825000,3776000,3727000,3679000
GHA,21389514,21951891,22528041,23115919,23713164,24317734,24928503,25544565,26164432,26786598,27409893
GIB,29080,29437,29770,30089,30407,30732,31067,31402,31720,31997,32217
GIN,9669023,9898301,10152521,10427356,10715770,11012406,11316351,11628767,11948726,12275527,12608590
GMB,1440542,1487731,1536424,1586749,1638899,1693002,1749099,1807108,1866878,1928201,1990924
GNB,1462784,1494603,1527342,1561293,1596832,1634196,1673509,1714620,1757138,1800513,1844325
GNQ,625866,645718,665798,686223,707155,728710,750918,773729,797082,820885,845060
GRC,10987314,11020362,11048473,11077841,11107017,11121341,11104899,11045011,10965211,10892413,10823732
GRD,102951,103259,103587,103934,104298,104677,105070,105476,105902,106349,106825
